Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Dept Code,Level
1,IT,Male,55,Specialist,03:05.6,2,High School,5,6750,33,32,22,2,0,14,66,0,2.63,FALSE,D01,Level 4
2,Finance,Male,29,Developer,03:05.6,0,High School,5,7500,34,34,13,14,100,12,61,2,1.72,FALSE,D02,Level 1
3,Finance,Male,55,Specialist,03:05.6,8,High School,3,5850,37,27,6,3,50,10,1,0,3.17,FALSE,D02,Level 4
4,Customer Support,Female,48,Analyst,03:05.6,7,Bachelor,2,4800,52,10,28,12,100,10,0,1,1.86,FALSE,D03,Level 1
5,Engineering,Female,36,Analyst,03:05.6,3,Bachelor,2,4800,38,11,29,13,100,15,9,1,1.25,FALSE,D04,Level 1
6,IT,Male,43,Manager,03:05.6,8,High School,3,7800,46,31,8,0,100,15,95,0,2.77,FALSE,D01,Level 4
7,IT,Male,37,Technician,03:05.6,1,Bachelor,5,5250,55,20,29,2,0,16,27,0,4.46,FALSE,D01,Level 4
8,Engineering,Female,55,Engineer,03:05.6,9,Bachelor,2,7200,42,46,7,8,100,7,64,0,2.09,FALSE,D04,Level 1
9,Marketing,Female,55,Technician,03:05.6,1,High School,2,4200,51,23,21,14,0,1,0,1,1.44,FALSE,D07,Level 4
10,Engineering,Female,45,Consultant,03:05.6,7,Bachelor,1,6050,41,33,2,6,75,4,53,2,2.93,FALSE,D04,Level 1
11,Customer Support,Male,52,Engineer,03:05.6,4,Bachelor,3,7800,38,1,5,0,25,4,90,1,2.34,FALSE,D03,Level 1
12,Customer Support,Male,27,Technician,03:05.6,9,Bachelor,5,5250,39,13,2,13,25,5,88,0,1.96,FALSE,D03,Level 4
13,HR,Male,51,Technician,03:05.6,5,Bachelor,4,4900,31,11,16,1,75,7,17,2,2.13,FALSE,D05,Level 4
14,Engineering,Male,27,Analyst,03:05.6,9,Bachelor,4,5600,33,30,5,13,25,4,26,1,1.46,FALSE,D04,Level 1
15,Finance,Male,46,Analyst,03:05.6,1,Master,1,4400,33,49,13,1,100,13,37,1,2.22,FALSE,D02,Level 1
16,Customer Support,Male,26,Developer,03:05.6,1,High School,2,6000,33,41,9,13,50,3,46,1,2.42,FALSE,D03,Level 1
17,Operations,Male,29,Engineer,03:05.6,4,Bachelor,2,7200,43,26,29,12,0,6,76,2,3.15,FALSE,D09,Level 1
18,Sales,Other,28,Developer,03:05.6,1,High School,3,6500,47,36,6,12,75,12,54,0,1.19,FALSE,D08,Level 1
19,Customer Support,Other,56,Developer,03:05.6,8,Bachelor,1,5500,57,9,24,1,75,1,36,0,1.12,FALSE,D03,Level 1
20,Finance,Male,23,Technician,03:05.6,9,High School,2,4200,52,0,9,1,0,5,66,0,3.91,FALSE,D02,Level 4
21,Operations,Female,33,Manager,03:05.6,1,Bachelor,1,6600,33,28,13,13,50,15,53,2,3.7,FALSE,D09,Level 4
22,Sales,Male,59,Manager,03:05.6,7,Master,5,9000,30,22,9,2,25,4,20,0,4.66,FALSE,D08,Level 4
23,Finance,Male,26,Specialist,03:05.6,8,High School,4,6300,48,40,9,13,0,13,71,2,3.68,FALSE,D02,Level 4
